feature,mean_abs_shap
num__HOUSE_STABILITY_RATIO,0.12901767
num__Income,0.12446236
num__INCOME_PER_YEAR_EXPERIENCE,0.112564154
num__JOB_STABILITY_RATIO,0.10909057
num__AGE_STARTED_WORK,0.09201789
num__Experience,0.08140227
num__Age,0.07251941
num__CURRENT_JOB_YRS,0.0601054
cat__Car_Ownership_no,0.04295718
num__CURRENT_HOUSE_YRS,0.033345293
cat__House_Ownership_rented,0.032492835
cat__Married/Single_married,0.025057508
cat__STATE_Punjab,0.018449802
cat__INCOME_BAND_upper_mid,0.015794024
cat__STATE_Madhya_Pradesh,0.014507977
cat__INCOME_BAND_mid,0.014224736
cat__Profession_Petroleum_Engineer,0.013629146
cat__STATE_Tamil_Nadu,0.013509298
cat__Profession_Technology_specialist,0.011976799
cat__CITY_Arrah,0.011960623
cat__STATE_Karnataka,0.01118561
cat__Profession_Industrial_Engineer,0.011145965
cat__STATE_Andhra_Pradesh,0.010060068
cat__Profession_Dentist,0.009597804
cat__Profession_Economist,0.008921545
cat__Profession_Chemical_engineer,0.008886531
cat__STATE_Rajasthan,0.008808567
cat__STATE_Uttar_Pradesh,0.008618558
cat__CITY_New_Delhi,0.008213531
cat__Profession_Drafter,0.008171892
cat__Profession_Police_officer,0.007907193
cat__Profession_Army_officer,0.0077166436
cat__Profession_Mechanical_engineer,0.0075738444
cat__CITY_Mira-Bhayandar,0.0075352723
cat__Profession_Chartered_Accountant,0.007407175
cat__Car_Ownership_yes,0.0072274017
cat__Profession_Politician,0.007194059
cat__STATE_West_Bengal,0.0069906306
cat__CITY_Mehsana,0.0068204626
cat__Profession_Microbiologist,0.0067949803
cat__STATE_Gujarat,0.006690437
cat__Profession_Physician,0.0065948274
"cat__CITY_Khora,_Ghaziabad",0.006451367
cat__CITY_Jodhpur,0.006225828
cat__CITY_Rajpur_Sonarpur,0.0060396255
cat__CITY_South_Dumdum,0.0060317568
cat__Profession_Web_designer,0.00598478
cat__STATE_Kerala,0.0059842626
cat__CITY_Farrukhabad,0.0059634224
cat__CITY_Sikar,0.0059500593
cat__STATE_Jharkhand,0.0058624977
cat__CITY_Adoni,0.0056445184
cat__Profession_Technician,0.005623862
cat__Profession_Statistician,0.0056048273
cat__CITY_Tiruvottiyur,0.0055624647
cat__Profession_Flight_attendant,0.005468111
cat__CITY_Bhiwani,0.005414801
cat__CITY_Bellary,0.0053702774
cat__CITY_Medininagar,0.0053479983
cat__CITY_Tirunelveli,0.0053301845
cat__STATE_Maharashtra,0.0052695847
cat__CITY_Shivpuri,0.0052470495
cat__Profession_Psychologist,0.005235106
cat__Profession_Lawyer,0.005232325
cat__CITY_Vellore,0.005135229
cat__CITY_Malegaon,0.00506323
cat__Profession_Surveyor,0.0050455295
cat__CITY_Belgaum,0.0050440338
cat__CITY_Bhagalpur,0.00499601
cat__CITY_Pune,0.0048749177
cat__CITY_Bareilly,0.0048337323
cat__Profession_Secretary,0.0048268987
cat__CITY_Lucknow,0.004802932
cat__CITY_Kolkata,0.0046828603
cat__CITY_Khammam,0.004601487
cat__CITY_Dehradun,0.004524048
cat__CITY_Eluru[25],0.004487775
cat__CITY_Amroha,0.004472341
cat__Profession_Software_Developer,0.0044649257
cat__Profession_Scientist,0.0042958274
cat__CITY_Panihati,0.004286497
cat__CITY_Kishanganj[35],0.0042818347
cat__CITY_Mau,0.004277085
cat__House_Ownership_owned,0.004213828
cat__CITY_Unnao,0.004200148
cat__CITY_Satara,0.0041991593
cat__Profession_Graphic_Designer,0.0041028643
cat__CITY_Orai,0.0040531475
cat__Profession_Computer_hardware_engineer,0.0040236493
cat__CITY_Pimpri-Chinchwad,0.003990808
cat__CITY_Aurangabad[39],0.0039897244
cat__Profession_Geologist,0.0039665685
